Date,Open,High,Low,Close,Adj Close,Volume
2020-09-21,371.400146,375.737030,336.068970,341.786072,341.786072,17398267133
2020-09-22,341.723816,346.600830,336.855042,344.503174,344.503174,12732578043
2020-09-23,344.622498,345.635590,317.692078,320.585541,320.585541,12047020994
2020-09-24,320.618317,351.464630,318.418976,349.356659,349.356659,13460565701
2020-09-25,349.363129,357.957245,339.350311,352.161865,352.161865,12254269350
2020-09-26,352.531250,355.960632,348.129639,354.965271,354.965271,11036752997
2020-09-27,354.587219,362.051361,349.094391,357.321686,357.321686,11464393948
2020-09-28,357.311157,366.890259,354.825134,354.950500,354.950500,12102509266
2020-09-29,354.974854,360.793488,351.819458,359.963409,359.963409,10286529444
2020-09-30,359.942352,361.210327,353.614349,360.022369,360.022369,9773649425
2020-10-01,360.004639,369.286987,347.197937,353.231293,353.231293,12360670277
2020-10-02,353.220184,354.075226,337.356934,346.532654,346.532654,12946215647
2020-10-03,346.502655,351.627930,344.886658,347.321594,347.321594,8599594017
2020-10-04,347.272430,354.253326,345.398712,353.121918,353.121918,9308536486
2020-10-05,353.045807,355.217896,350.197632,354.277100,354.277100,9933790981
2020-10-06,354.137787,355.504059,338.520233,341.021149,341.021149,11497841885
2020-10-07,341.091675,342.591248,335.533600,342.119781,342.119781,10537119715
2020-10-08,342.094971,352.800385,336.497101,351.455658,351.455658,11511016795
2020-10-09,351.518799,368.716553,349.032074,366.046417,366.046417,12027816009
2020-10-10,365.402466,378.267151,365.354034,370.967590,370.967590,13618484323
2020-10-11,370.928436,377.246796,369.828033,375.142059,375.142059,12584512532
2020-10-12,374.798737,395.122162,366.642334,387.731262,387.731262,15867455423
2020-10-13,387.142944,387.375671,375.582458,381.190765,381.190765,14226744837
2020-10-14,381.971466,387.296173,374.175018,379.484039,379.484039,13918846566
2020-10-15,379.192230,381.208771,371.354126,377.441833,377.441833,14964182545
2020-10-16,377.868500,380.021515,362.597412,366.229004,366.229004,14670784817
2020-10-17,366.015717,369.768127,364.489014,368.855927,368.855927,10951115359
2020-10-18,368.727539,378.597656,368.129150,378.213684,378.213684,11047103109
2020-10-19,378.469635,383.317657,373.702271,379.935608,379.935608,12811242091
2020-10-20,379.719696,380.761017,367.601074,369.136902,369.136902,13741586581
2020-10-21,369.059418,400.627258,368.727966,392.189972,392.189972,20241324322
2020-10-22,391.488617,420.141663,391.276306,413.772980,413.772980,15772846484
2020-10-23,414.051331,418.959930,403.082031,409.766693,409.766693,14256222051
2020-10-24,409.767242,416.599670,407.851715,412.457611,412.457611,12201739193
2020-10-25,412.457642,417.159210,405.350647,406.217773,406.217773,10890207469
2020-10-26,406.217987,411.279877,383.782898,393.888306,393.888306,15155684229
2020-10-27,393.888184,409.772858,390.608459,403.997040,403.997040,13940434101
2020-10-28,403.997101,408.964752,381.146332,388.650757,388.650757,15276441134
2020-10-29,388.651062,393.227692,381.288757,386.730103,386.730103,12920477749
2020-10-30,386.730255,391.464722,375.092407,382.819977,382.819977,13688056969
2020-10-31,382.820038,393.010132,381.295258,386.590332,386.590332,11276963425
2020-11-01,386.590332,397.116119,385.165527,396.358185,396.358185,10475146018
2020-11-02,396.355988,403.240753,381.017639,383.156738,383.156738,13997574252
2020-11-03,383.156036,389.515381,371.312744,387.602173,387.602173,12588494762
2020-11-04,387.603210,407.665649,377.827606,402.141998,402.141998,15126077675
2020-11-05,402.142944,417.525940,397.245819,414.067352,414.067352,15440711037
2020-11-06,414.066711,456.200623,412.982300,454.719299,454.719299,16738305610
2020-11-07,454.722565,465.675476,428.456360,435.713135,435.713135,18873289788
2020-11-08,435.718811,457.780457,433.153778,453.554779,453.554779,11292383601
2020-11-09,453.574158,457.349609,435.163879,444.163055,444.163055,13704320629
2020-11-10,444.166382,453.758362,439.600128,449.679626,449.679626,12090381666
2020-11-11,449.679657,473.578857,449.524933,462.960541,462.960541,14075403511
2020-11-12,462.959534,467.677826,452.072418,461.005280,461.005280,12877327233
2020-11-13,461.005493,475.217255,457.298248,474.626434,474.626434,13191505724
2020-11-14,474.626434,475.161438,452.986084,460.149841,460.149841,10312037942
2020-11-15,460.149902,460.994080,440.254333,447.559082,447.559082,10308617164
2020-11-16,447.558990,463.831024,445.501617,459.940308,459.940308,11441239444
2020-11-17,464.406647,482.232208,460.776611,480.360077,480.360077,14593057876
2020-11-18,480.346832,491.999908,465.830963,479.484070,479.484070,17880199224
2020-11-19,479.481018,480.121735,465.704254,471.630432,471.630432,12473929217
2020-11-20,471.631470,513.610352,471.631470,509.744568,509.744568,18629943296
2020-11-21,509.744598,550.227417,504.237762,549.486633,549.486633,20757099183
2020-11-22,549.486633,579.372498,514.517212,558.068115,558.068115,21967049601
2020-11-23,558.059509,609.987610,551.265259,608.454041,608.454041,27272302871
2020-11-24,608.522766,621.173401,593.835144,603.897766,603.897766,23281758099
2020-11-25,591.650024,605.094177,559.697693,570.604980,570.604980,19986178048
