StationId,PM2.5,PM10,NO,NO2,NOx,SO2
DL010,239.44,454.34,109.26,70.04,126.3,13.36
DL010,204.69,367.19,116.69,52.06,122.88,17.2
DL010,87.08,215.64,24.86,46.86,45.11,11.31
DL010,81.46,244.84,48.96,55.84,69.58,14.64
DL010,159.6,322.03,156.83,69.81,163.93,19.06
DL010,203.72,350.18,90.66,52.06,101.56,22.08
DL010,209.5,406.5,22.83,95.06,69.18,14.54
DL010,114.39,167.69,16.96,55.88,43.55,15.35
DL010,77.75,205.2,38.93,49.54,58.11,13.97
DL010,100.11,306.7,39.43,60.46,64.31,16.51
DL010,98.72,294.63,42.66,64.16,68.9,6.56
DL010,123.28,328.67,81.83,55.72,96.35,16.89
DL010,135.57,302.58,48.36,56.31,69.36,18.61
DL010,156.31,351.71,85.28,68.95,119.21,19.69
DL010,190.08,494.38,149.48,95.3,180.46,20.06
DL010,175.83,384.14,53.86,65.24,78.6,20.3
DL010,137.43,341.42,83.36,61.32,100.57,22.35
DL010,169.73,383.6,114.14,75.19,131.39,20.17
DL010,181.59,358.31,42.51,58.05,65.54,19.79
DL010,176.85,400.97,56.3,66.9,81.48,20.45
DL010,228.59,449.37,107.54,80.78,128.36,20.74
DL010,247.96,533.85,178.76,87.74,192.42,21.07
DL010,208.99,421.19,51.64,69.47,79.04,23.25
DL010,142.62,300.21,22.71,50.09,45.15,30.93
DL010,96.72,226.89,23.52,48.8,45.12,19.38
DL010,115.11,289.25,29.81,61.8,57.2,28.07
DL010,150.57,326.5,83.02,75.09,106.63,32.66
DL010,173.26,405.79,82.77,78.11,109.03,24.98
DL010,157.03,390.23,86.51,73.02,108.77,36.16
DL010,123.67,362.6,113.63,75.92,133.0,27.93
DL010,99.26,286.65,6.22,50.23,31.78,15.02
DL010,59.26,106.09,4.82,37.17,23.7,7.66
DL010,72.55,264.1,68.1,66.97,91.14,8.18
DL010,123.34,268.78,39.88,54.76,61.64,7.99
DL010,84.06,250.31,41.38,60.61,65.97,8.58
DL010,153.76,351.24,47.76,59.49,70.58,16.24
DL010,157.07,420.26,82.59,70.28,104.72,21.97
DL010,107.23,275.78,31.46,71.79,63.83,21.74
DL010,89.87,204.68,6.95,49.55,32.02,17.22
DL010,60.07,143.38,6.62,43.39,28.47,16.96
DL010,42.07,184.7,36.62,54.49,58.64,19.27
DL010,105.78,351.5,103.06,68.91,120.68,24.02
DL010,105.64,337.3,69.59,63.94,90.75,22.19
DL010,81.57,257.39,45.94,65.21,72.14,21.99
DL010,28.27,79.18,9.98,40.15,29.5,20.43
DL010,20.78,40.54,11.55,45.88,33.83,16.19
DL010,48.7,156.49,38.31,56.02,61.02,15.96
DL010,73.68,203.33,60.83,50.76,76.62,13.7
DL010,94.7,269.49,30.91,47.07,50.2,16.78
DL010,95.02,254.03,12.87,39.22,31.36,25.57
DL010,55.62,145.72,8.57,43.31,30.02,22.8
DL010,53.35,212.98,25.14,45.6,44.76,22.11
DL010,75.29,285.12,23.48,54.43,48.09,26.82
DL010,42.59,118.71,12.3,42.9,32.85,19.74
DL010,84.5,206.04,19.25,50.36,42.48,22.26
