Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 04, 2017",347.13,347.13,279.94,295.17,"1,80,16,89,984","27,87,36,82,151"
"Sep 03, 2017",350.23,366.49,332.23,347.48,"98,62,65,984","32,80,71,42,041"
"Sep 02, 2017",387.82,389.35,328.1,348.98,"1,48,36,00,000","32,94,22,50,738"
"Sep 01, 2017",383.47,390.04,383.47,387.74,"87,42,22,016","36,59,34,10,761"
"Aug 31, 2017",378.44,386.14,376.35,383.04,"70,62,54,016","36,14,27,06,814"
"Aug 30, 2017",369.47,388.75,361.97,378.48,"1,33,33,19,936","35,70,56,39,885"
"Aug 29, 2017",347.96,373.76,347.79,370.67,"1,22,00,29,952","34,96,10,63,278"
"Aug 28, 2017",350.04,352.05,338.41,347.75,"85,43,18,976","32,79,26,35,350"
"Aug 27, 2017",334.36,347.89,334.36,347.89,"63,33,69,984","32,79,99,91,739"
"Aug 26, 2017",331.99,334.98,327.92,333.88,"51,41,80,992","31,47,27,81,162"
"Aug 25, 2017",326.11,336.4,325.8,331.92,"76,03,29,024","31,28,12,10,162"
"Aug 24, 2017",317.45,327.96,317.08,325.61,"69,76,65,024","30,68,09,64,300"
"Aug 23, 2017",315.27,324.21,314.54,317.52,"81,19,90,016","29,91,13,26,162"
"Aug 22, 2017",321.05,327.36,297.91,314.79,"1,33,64,00,000","29,64,66,59,314"
"Aug 21, 2017",300.48,347.05,297.23,321.59,"2,44,89,69,984","30,28,04,06,340"
"Aug 20, 2017",296.64,301.43,291.58,301.43,"57,19,47,008","28,37,50,46,491"
"Aug 19, 2017",296.18,301.67,286.18,297.47,"86,02,01,984","27,99,58,85,731"
"Aug 18, 2017",301.7,307.96,292.5,295.59,"93,61,60,000","27,81,22,76,026"
"Aug 17, 2017",302.8,311.03,300.25,301.46,"90,94,94,016","28,35,75,73,570"
"Aug 16, 2017",289.82,303.41,285.39,302.27,"96,76,43,008","28,42,69,61,863"
"Aug 15, 2017",299.95,300.41,279.33,289.82,"1,05,18,00,000","27,24,96,39,651"
"Aug 14, 2017",298.03,306.81,296.41,300.1,"86,43,90,976","28,20,94,51,117"
"Aug 13, 2017",310.37,310.82,289.31,298.06,"1,36,93,69,984","28,01,17,60,531"
"Aug 12, 2017",308.71,317.56,307.9,310.6,"1,11,16,50,048","29,18,31,39,234"
"Aug 11, 2017",294.49,309.21,294.49,308.86,"95,35,76,000","29,01,31,66,489"
"Aug 10, 2017",296.96,306.59,289.93,295.89,"1,07,68,19,968","27,78,81,65,832"
"Aug 09, 2017",297.63,318.72,276.69,296.03,"2,63,85,79,968","27,79,44,75,648"
"Aug 08, 2017",269.1,298.91,266.8,296.77,"1,50,24,09,984","27,85,77,12,299"
"Aug 07, 2017",261.24,271.96,256.69,269.18,"93,57,26,976","25,26,20,99,071"
"Aug 06, 2017",256.42,271.05,252.85,261.57,"1,48,29,79,968","24,54,19,04,159"
"Aug 05, 2017",222.85,256.51,221.95,256.51,"1,33,29,99,936","24,06,17,66,194"
"Aug 04, 2017",225.31,227.62,222.06,223.07,"53,97,82,976","20,92,06,82,038"
"Aug 03, 2017",220.18,228.29,219.89,225.34,"55,72,17,024","21,12,87,36,918"
"Aug 02, 2017",227.01,229.51,218.12,219.95,"63,26,06,016","20,61,87,46,852"
"Aug 01, 2017",204.69,227.74,204.69,226.77,"1,58,53,30,048","21,25,29,88,047"
"Jul 31, 2017",197.4,203.87,193.41,203.87,"56,94,14,016","19,10,25,96,755"
"Jul 30, 2017",206.74,208.54,196.15,197.98,"59,62,33,984","18,54,56,69,554"
"Jul 29, 2017",193.34,208.68,179.65,205.79,"82,43,55,008","19,27,22,80,500"
